Crawled Date,List Position on Page,List Name,List Description,GPT Position in List,GPT Name,GPT Description,GPT Author,GPT Logo Image URL
"2024-03-02",2,"Trending","Most popular GPTs by our community",7,"Whimsical Diagrams","Explains and visualizes concepts with flowcharts, mindmaps and sequence diagrams.","By whimsical.com","https://files.oaiusercontent.com/file-w1wRg58ZPtZgXXTQJqiEwJ4H?se=2124-01-06T16%3A22%3A56Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DWhite%2520Icon%2520on%2520Gradient%2520SQ%25402x.png&sig=9eaJvzM4CZfWuo08Mik5OfaxwqRbEfZl0J333af9dRo%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",8,"Video GPT by VEED","AI Video Maker. Generate videos for social media - YouTube, Instagram, TikTok and more! Free text to video & speech tool with AI Avatars, TTS, music, and stock footage.","By veed.io","https://files.oaiusercontent.com/file-SlTJOEwrBwlAnMgwOzlWyFUp?se=2123-12-29T14%3A58%3A36Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dai%2520text%2520to%2520video%2520for%2520social%2520media.png&sig=81ayZwF3xkQIU9h5SLyC2Dfka1emcCCu8814lHfXhjc%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",9,"PDF Ai PDF","Securely store and chat with ALL your PDFs for FREE, even x-large PDFs! Ai PDF powers more than 700,000 chats with professionals and researchers. It includes free myaidrive.com storage account, while Pro version can search folders with 1000s of files, OCR and extract title, authors and more!","By myaidrive.com","https://files.oaiusercontent.com/file-9XepYndxfvemsnkdZ6cnT5em?se=2123-10-13T20%3A40%3A38Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=iLNHnnlyyia9R%2BqHCe3A09us9866vp3s4byPzVRT7qo%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",10,"Wolfram","Access computation, math, curated knowledge & real-time data from Wolfram|Alpha and Wolfram Language; from the makers of Mathematica.","By gpt.wolfram.com","https://files.oaiusercontent.com/file-fGE6EGZCQY73C76MJantfE0d?se=2123-11-20T15%3A51%3A47Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DWolfram.png&sig=2QEsZQ5Kxa7XqcJ0uhOOHZMx0qjAhuN2H%2BsZR5p2GXo%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",11,"👌Academic Assistant Pro","Professional academic assistant with a professorial touch","By awesomegpts.vip","https://files.oaiusercontent.com/file-Dwtb6wId5QQI5EFlrVNBkOVk?se=2123-10-20T08%3A47%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D629998af-08da-406f-b8d1-97c9543b56b8.png&sig=Q5Hqblmz5PUlhNl%2BiOFui9Iuk94YCBTHmxSgM9V/Ynk%3D"
"2024-03-02",2,"Trending","Most popular GPTs by our community",12,"Grimoire","Coding Wizard🧙‍♂️ Learn to Prompt-gram! Create a website with a sentence. 20+ Hotkeys for coding flows. 75 starter projects to learn prompt-1st code & art. Build anything! Ask any question or upload a photo. Type R for README, K for cmd menu v2.2 ✨📜 GPTavern","By gptavern.mindgoblinstudios.com","https://files.oaiusercontent.com/file-0iw1nJRFDLfuXLJy3SHURMiE?se=2123-12-26T23%3A31%3A22Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DCherished%2520Member.png&sig=vlX1mXOxWn/p7qK07bDbFcK6D1fOdSrvdPnK4h7VOT8%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",1,"DALL·E","Let me turn your imagination into imagery.","By ChatGPT","https://files.oaiusercontent.com/file-SxYQO0Fq1ZkPagkFtg67DRVb?se=2123-10-12T23%3A57%3A32Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_3.webp&sig=pLlQh8oUktqQzhM09SDDxn5aakqFuM2FAPptuA0mbqc%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",2,"Data Analyst","Drop in any files and I can help analyze and visualize your data.","By ChatGPT","https://files.oaiusercontent.com/file-id374Jq85g2WfDgpuOdAMTEk?se=2123-10-13T00%3A31%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_2.png&sig=qFnFnFDVevdJL3xvtDE8vysDpTQmkSlF1zhYLAMiqmM%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",3,"Hot Mods","Let's modify your image into something really wild. Upload an image and let's go!","By ChatGPT","https://files.oaiusercontent.com/file-wOlP7l6RXZJ4YvZq3pUAqLOY?se=2123-10-13T04%3A59%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DHotMods.png&sig=eayebboHdkASOIpNoSeDCqC9o5/XYCmjaV/oYy2%2BsmQ%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",4,"Creative Writing Coach","I'm eager to read your work  and give you feedback to improve your skills.","By ChatGPT","https://files.oaiusercontent.com/file-KSheuuQR8UjcxzFjjSfjfEOP?se=2123-10-13T00%3A52%3A56Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dcreative-writing.png&sig=MA3AFe4yhExdlgBje00y4%2BCLHpBkJ%2BUQKkiwknp46as%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",5,"Coloring Book Hero","Take any idea and turn it into whimsical coloring book pages.","By ChatGPT","https://files.oaiusercontent.com/file-MQvRHYzyhxlHQxjUk1bOIjaO?se=2123-10-13T17%3A23%3A32Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DDALL%25C2%25B7E%25202023-10-08%252020.15.58%2520-%2520Line%2520art%2520depiction%2520of%2520ghost%2520squids%2520hovering%2520near%2520an%2520underwater%2520shipwreck.%2520Clownfish%2520wear%2520phantom%2520masks%252C%2520and%2520turtles%2520have%2520Dracula%2520capes.%2520The%2520compositio.png&sig=e5MMoyC9BRd0ui7hfDfueOH%2Bp2Lwyss24d1ahnZhHCQ%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",6,"Planty","I'm Planty, your fun and friendly plant care assistant! Ask me how to best take care of your plants.","By ChatGPT","https://files.oaiusercontent.com/file-mQg3Ip5yicSVcDciY7kPxnIc?se=2123-12-15T16%3A38%3A45Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dcf523198-c20a-4ca3-b18e-311bdcdd7127.png&sig=AknbZzhED5Wdtae6OAchwn5eBrCrQDTs/wu/M3jfBjU%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",7,"ChatGPT Classic","The latest version of GPT-4 with no additional capabilities.","By ChatGPT","https://files.oaiusercontent.com/file-i9IUxiJyRubSIOooY5XyfcmP?se=2123-10-13T01%3A11%3A31Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dgpt-4.jpg&sig=ZZP%2B7IWlgVpHrIdhD1C9wZqIvEPkTLfMIjx4PFezhfE%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",8,"Web Browser","I can browse the web to help you gather information or conduct research","By ChatGPT","https://files.oaiusercontent.com/file-3t4EXPvrgqocPOe7UtRwV5g0?se=2123-10-08T02%3A41%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_1.png&sig=7Brxlagrbu8xb9dnLNJZzmKl24D8mgWo6yHeGgXGT%2B8%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",9,"Game Time","I can quickly explain board games  or card games to players of any age. Let the games begin!","By ChatGPT","https://files.oaiusercontent.com/file-JxYoHzuJQ2TXHBYy6UGC4Xs8?se=2123-10-13T00%3A46%3A49Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dc0bba883-a507-42dd-acfd-211509efd97c.png&sig=jZeFDXgC4ZbNC8mVNuQK7zeKS7ssRCh5QTlqa81WJEM%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",10,"The Negotiator","I'll help you advocate for yourself  and get better outcomes. Become a great negotiator.","By ChatGPT","https://files.oaiusercontent.com/file-MjvVb8L9Se5PdSC1gMLopCHh?se=2123-10-13T00%3A50%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dnegotiator.png&sig=GDq28k4lIHIZbvXfm9PjQerwO1kGUnkNn6a5aQD/7/M%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",11,"Cosmic Dream","Visionary painter of digital wonder.","By ChatGPT","https://files.oaiusercontent.com/file-M12eDkWHmobmgj5mhcWkMMVI?se=2123-10-13T07%3A48%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D28de0bdd-4c74-45a4-8d52-0fac85aea31a.png&sig=KdG%2BVt6/480jvqtjdwa4DulLX7BRqVN6FQfuuS9QaVI%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",12,"Tech Support Advisor","From setting up a printer to troubleshooting a device, I’m here to help you step-by-step.","By ChatGPT","https://files.oaiusercontent.com/file-soqNFMszjoxK9d3BFD3rAGA5?se=2123-10-13T00%3A53%3A58Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DTechSupport.jpg&sig=ztG5CVAIZeK5/C/wQkWdewTJVlXtRmmSRd5Z7XRsJ04%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",13,"Laundry Buddy","Ask me anything about stains,  settings, sorting and everything  laundry.","By ChatGPT","https://files.oaiusercontent.com/file-A2WHofOnsYQ8FF6nnlvOVXCv?se=2123-10-13T00%3A55%3A09Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlaundry-buddy.png&sig=dKwxpIQ1PTMFGHqg72Yipf8HYFr8O2hmyu93VskBalM%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",14,"Sous Chef","I’ll give you recipes based on the foods you love and ingredients you have.","By ChatGPT","https://files.oaiusercontent.com/file-w4J3XQ5bnIbssMVHKXZskSJB?se=2123-10-13T00%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DSousChef.jpg&sig=0SOuTgsd12ovY7zAHHfi84iLDi4wTFI0Qf%2Bv8nA%2B9No%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",15,"Math Mentor","I help parents help their kids with  math. Need a 9pm refresher on  geometry proofs? I’m here for you.","By ChatGPT","https://files.oaiusercontent.com/file-vRLKTttMrbx27eEJWEBVKJwt?se=2123-10-13T01%3A00%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dmath-mentor.png&sig=%2BS1FfwRE0ifFpK2QDAHtVLhsRzIBoFs/jqcjILyGYt8%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",16,"Mocktail Mixologist","I’ll make any party a blast with mocktail recipes with whatever ingredients you have on hand.","By ChatGPT","https://files.oaiusercontent.com/file-bRpq5C5YwRMtQGO7xFa3nT40?se=2123-10-13T19%3A41%3A29Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dmocktails.png&sig=8us63D/Hx%2BsAn8u99rsbW5BoihTQQD1eP/jFb6C1KNs%3D"
"2024-03-02",3,"By ChatGPT","GPTs created by the ChatGPT team",17,"genz 4 meme","i help u understand the lingo & the latest memes.","By ChatGPT","https://files.oaiusercontent.com/file-m64BWxDs6cs9o6xYn33ujZe1?se=2123-10-13T21%3A41%3A58Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D90ba2a5d-c6c8-4e78-8937-12afc91047b8.png&sig=9tkbKzmgTgbTqOqYfNbilDh5yIsgYw/DYCi95iEd3p0%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",1,"image generator","A GPT specialized in generating and refining images with a mix of professional and friendly tone.image generator","By NAIF J ALOTAIBI","https://files.oaiusercontent.com/file-M1df4Ab7Ow6QCJ871tBUsi0x?se=2123-11-08T17%3A52%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D40face33-c6ad-4a5d-b402-5f7126e8325f.png&sig=G9qnRNHbnnN1gnz2NzVSyjwWvQ6hrGjr%2Be7hbYgnjRs%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",2,"Cartoonize Yourself","Turns photos into Pixar-style illustrations. Upload your photo to try","By karenxcheng.com","https://files.oaiusercontent.com/file-bUZE1j8Ld1SJq9wEeJDfRGuM?se=2123-11-03T02%3A43%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D980728ef-7d57-4b4c-b0a5-dcf9e00676e9.png&sig=JT%2BynnJL4ai6H70cscNUpbO63WcvWtxZVZMFY2L3gag%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",3,"Midjourney","I help craft detailed image prompts.","By promptboom.com","https://files.oaiusercontent.com/file-G2EfRqadIiASU86zknerDj8U?se=2123-10-17T03%3A52%3A57Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D6bfeb4de-edbe-4eb3-b72a-204ff083c88b.png&sig=qjvZj4sJq7vt37xiYZJ0boJGTyI9G/qadgqOZs9DukY%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",4,"LOGO","Senior brand LOGO design expert, 20 years of brand LOGO design experience, designer material feeding training","By logogpts.cn","https://files.oaiusercontent.com/file-lvZdHWZGgQwvsX1a7z6jDqjp?se=2123-10-24T06%3A40%3A10Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D001.jpg&sig=TiSo//G1KZ6wuBgQEpI2kzsvwxZ3R8HRIWZEFGabBi4%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",5,"Super Describe","Upload any image to get a similar one using DALL·E 3 along with the detailed prompt!","By bestaiprompts.art","https://files.oaiusercontent.com/file-wSYkolaw1qEQ3s5gA0Z9i0x8?se=2123-10-20T17%3A29%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D5bb5263b-c53b-4ac2-8bf5-0d4d5eb2f246.png&sig=2u8YEYxkfBBfVNFE2qicuaNpJkyCf9J7tqMzhHZKHHE%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",6,"Drawn to Style","I creatively transform drawings and pictures into different artistic styles.","By UMESH N","https://files.oaiusercontent.com/file-gP54nvFyK44hooUEvYMhJciy?se=2123-10-16T22%3A11%3A38Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dd0377191-2a44-4506-b90a-0e0f03465c0a.png&sig=%2BzFFaYI2Vkq5a/uJSvfamk5XER8EVlYeKQy0qn4lqCs%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",7,"ロMidjourney Prompt Generator (V6)","Generate 5 detailed, creative, optimized prompts that are ready to use in Midjourney V6. Mention ""niji"" if you need ending with ""--niji 6""","By featuredgpts.com","https://files.oaiusercontent.com/file-KAtx8ne11BR9ODHC5MpovfD9?se=2123-12-04T08%3A13%3A41Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DDALL%25C2%25B7E%25202023-12-28%252015.51.23%2520-%2520A%2520simplistic%252C%2520minimalist%2520vector%2520illustration%2520of%2520a%2520sailboat%2520with%2520a%2520single%2520sail%252C%2520gliding%2520on%2520gentle%2520waves.%2520The%2520sailboat%2520is%2520centered%2520in%2520the%2520composition%252C%2520w.png&sig=MPdUjbGgaqnfLg54wu76plXClwFEw2q6lU6cfbd3Hv4%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",8,"Mid Journey V6 Prompt Creator","Over 20 hours of training went into developing the BEST Midjourney V6 image prompt creator tool on the planet...","By jandthebots.com","https://files.oaiusercontent.com/file-tjD7Jql9nC8FmJsK7yzY51Bv?se=2123-12-15T13%3A11%3A24Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dpeace.good.vibes.only_a_logo_for_a_AI_art_tool_with_a_logo_that_7cfb6158-a13b-46a9-9e41-c93087a1cb36.png&sig=Otz5YOeDB876CJy0VigLOfo7GCceUXWqnpGLi/fKUPM%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",9,"Artful Greeting AI Cards","Customizable themed greeting cards with optional text.","By Juan Arkani","https://files.oaiusercontent.com/file-xUzbdePe4cwng0xPvUkaak5r?se=2124-01-30T08%3A48%3A16Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3D19333bf2-7d56-436f-b901-bbf83695c803.png&sig=s1Q2jd8FJSabEw2dNsbcEhi7DsbDme1WXS1ih1djdYI%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",10,"DALL - E Next Level Images","Generate Top-notch, High Quality Images Using DALL-E With Guided Prompts","By portalofai.com","https://files.oaiusercontent.com/file-5oXFiTPwQNn1U638DkQTIAOl?se=2123-12-18T17%3A40%3A15Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DCapture.PNG&sig=ovVhNrmr2/rMy06loaxETrNVG/KFrOejl3gCNFh4CHA%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",11,"DALL +","Image generator with simple settings, able to better depict what you have in mind. Settings range from 0 - 5. 4 images are generated. Type -help to get more info. V-5.0","By João Pais","https://files.oaiusercontent.com/file-Ck1RjwCWfHXidYrhNWZdxSke?se=2123-12-18T01%3A47%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dfile-FssEqlyScbCfJQtO9mlwfKxU.jpg&sig=Vb83TMjjH3UqGnrDCZ34ggLm94wNoOw5jC1WxEQ/MtY%3D"
"2024-03-02",4,"DALL·E","Transform your ideas into amazing images",12,"Image Copy Machine GPT","Replicates and creatively reinterprets images. Just upload your photo, and let the GPT do its magic.  Remember to adhere to copyright regulations. Welcome to the best Image GPT powered by DALL·E ChatGPT.","By Torbjørn Flensted","https://files.oaiusercontent.com/file-lPsK7MeMUA81zgwWsMzLMx7b?se=2123-12-22T20%3A17%3A28Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dimage-copy-machine-gpt-ai.png&sig=nJZ4hSn99lwHX%2BJBtbVmaL8wq0nhxBU9Ycapfd9zAYc%3D"
"2024-03-02",5,"Writing","Enhance your writing with tools for creation, editing, and style refinement",1,"Write For Me","Write tailored, engaging content with a focus on quality, relevance and precise word count.","By puzzle.today","https://files.oaiusercontent.com/file-hVjI65nZeCAowpoArhSWjynX?se=2123-10-24T11%3A26%3A42Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Ded9312a8-bf37-4345-93bd-2e8b54bc2a89.png&sig=nw8OKVAhe0pqBOvG8jlopI5cQ2npVyuHjAjSpr%2BWKFo%3D"
"2024-03-02",5,"Writing","Enhance your writing with tools for creation, editing, and style refinement",2,"Humanizer Pro","#1 Humanizer in the market. This tool humanizes your content to bypass the most advanced AI detectors, maintaining content meaning and quality with a 100% human score. Currently it supports only English.","By CharlyAI","https://files.oaiusercontent.com/file-B3J9SZ6f8uh21XyDgNJ236pg?se=2123-10-22T14%3A41%3A35Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D579a0db4-4eef-4846-98f7-ff2979eb942e.webp&sig=xs2Th9HWsBkW5G60Vp90UmCc/QeGOrRXjF4XhcPHwhw%3D"
"2024-03-02",5,"Writing","Enhance your writing with tools for creation, editing, and style refinement",3,"👌Academic Assistant Pro","Professional academic assistant with a professorial touch","By awesomegpts.vip","https://files.oaiusercontent.com/file-Dwtb6wId5QQI5EFlrVNBkOVk?se=2123-10-20T08%3A47%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D629998af-08da-406f-b8d1-97c9543b56b8.png&sig=Q5Hqblmz5PUlhNl%2BiOFui9Iuk94YCBTHmxSgM9V/Ynk%3D"
